POA (UR),Population
"3371, VIC",1090
"3373, VIC",2453
"3374, VIC",425
"3375, VIC",236
"3377, VIC",9602
"3378, VIC",140
"3379, VIC",749
"3380, VIC",6220
"3381, VIC",1401
"3384, VIC",608
"3385, VIC",541
"3387, VIC",289
"3388, VIC",567
"3390, VIC",957
"3391, VIC",181
"3392, VIC",584
"3393, VIC",2614
"3395, VIC",350
"3396, VIC",694
"3400, VIC",15134
"3401, VIC",4596
"3407, VIC",416
"3409, VIC",987
"3412, VIC",295
"3413, VIC",196
"3414, VIC",1719
"3415, VIC",36
"3418, VIC",2875
"3419, VIC",891
"3420, VIC",283
"3423, VIC",476
"3424, VIC",750
"3427, VIC",5669
"3428, VIC",668
"3429, VIC",39093
"3430, VIC",303
"3431, VIC",4390
"3432, VIC",185
"3433, VIC",207
"3434, VIC",6143
"3435, VIC",3228
"3437, VIC",11715
"3438, VIC",2509
"3440, VIC",2073
"3441, VIC",1450
"3442, VIC",8586
"3444, VIC",10066
"3446, VIC",1101
"3447, VIC",524
"3448, VIC",981
"3450, VIC",7588
"3451, VIC",5819
"3453, VIC",1852
"3458, VIC",2330
"3460, VIC",2799
"3461, VIC",4614
"3462, VIC",1230
"3463, VIC",2588
"3464, VIC",1192
"3465, VIC",10111
"3467, VIC",1356
"3468, VIC",267
"3469, VIC",269
"3472, VIC",1492
"3475, VIC",373
"3477, VIC",817
"3478, VIC",2584
"3480, VIC",1805
"3482, VIC",207
"3483, VIC",882
"3485, VIC",291
"3487, VIC",82
"3488, VIC",89
"3489, VIC",62
"3490, VIC",1292
"3491, VIC",149
"3494, VIC",641
"3496, VIC",6464
"3498, VIC",5977
"3500, VIC",34565
"3501, VIC",2146
"3505, VIC",5010
"3506, VIC",33
"3507, VIC",171
"3509, VIC",228
"3512, VIC",369
"3515, VIC",2516
"3516, VIC",722
"3517, VIC",1497
"3518, VIC",1321
"3520, VIC",156
"3521, VIC",772
"3522, VIC",338
"3523, VIC",3965
"3525, VIC",1369
"3527, VIC",741
"3529, VIC",117
"3530, VIC",114
"3531, VIC",194
"3533, VIC",744
"3537, VIC",1094
"3540, VIC",263
"3542, VIC",139
"3544, VIC",252
"3546, VIC",346
"3549, VIC",4017
"3550, VIC",41839
"3551, VIC",35614
"3555, VIC",21043
"3556, VIC",14088
"3557, VIC",853
"3558, VIC",971
"3559, VIC",563
"3561, VIC",4498
"3562, VIC",257
"3563, VIC",850
"3564, VIC",17080
"3565, VIC",134
"3566, VIC",578
"3567, VIC",665
"3568, VIC",2947
"3570, VIC",837
"3571, VIC",305
"3572, VIC",137
"3573, VIC",340
"3575, VIC",842
"3576, VIC",60
"3579, VIC",5450
"3580, VIC",1101
"3581, VIC",147
"3583, VIC",162
"3584, VIC",1138
"3585, VIC",11508
"3586, VIC",799
"3588, VIC",404
"3589, VIC",359
"3590, VIC",337
"3591, VIC",163
"3594, VIC",536
"3595, VIC",673
"3596, VIC",103
"3597, VIC",458
"3599, VIC",154
"3607, VIC",160
"3608, VIC",2825
"3610, VIC",1600
"3612, VIC",1801
"3614, VIC",927
"3616, VIC",5605
"3617, VIC",161
"3618, VIC",679
"3620, VIC",8340
"3621, VIC",2437
"3622, VIC",537
"3623, VIC",890
"3624, VIC",563
"3629, VIC",9536
"3630, VIC",32151
"3631, VIC",14605
"3633, VIC",620
"3634, VIC",1888
"3635, VIC",552
"3636, VIC",5375
"3637, VIC",642
"3638, VIC",2199
"3639, VIC",479
"3640, VIC",1025
"3641, VIC",1266
"3646, VIC",601
"3647, VIC",51
"3649, VIC",478
"3658, VIC",6251
"3659, VIC",748
"3660, VIC",7842
"3662, VIC",1108
"3663, VIC",183
"3664, VIC",1139
"3665, VIC",397
"3666, VIC",5142
"3669, VIC",1475
"3670, VIC",596
"3672, VIC",10822
"3673, VIC",1818
"3675, VIC",1936
"3677, VIC",19214
"3678, VIC",6568
"3682, VIC",645
"3683, VIC",1748
"3685, VIC",2935
"3687, VIC",1061
"3688, VIC",1334
"3690, VIC",35051
"3695, VIC",488
"3697, VIC",568
"3698, VIC",1012
"3699, VIC",1242
"3700, VIC",1403
"3701, VIC",1101
"3704, VIC",26
"3705, VIC",254
"3708, VIC",66
"3709, VIC",307
"3711, VIC",591
"3712, VIC",354
"3713, VIC",1023
"3714, VIC",3749
"3715, VIC",371
"3717, VIC",3544
"3718, VIC",91
"3719, VIC",420
"3720, VIC",666
"3722, VIC",5815
"3723, VIC",3727
"3725, VIC",645
"3726, VIC",411
"3727, VIC",303
"3728, VIC",687
"3730, VIC",9719
"3732, VIC",608
"3733, VIC",220
"3735, VIC",638
"3737, VIC",4426
"3738, VIC",197
"3739, VIC",239
"3740, VIC",1183
"3741, VIC",3426
"3744, VIC",522
"3746, VIC",382
"3747, VIC",5054
"3749, VIC",2123
"3750, VIC",24407
"3751, VIC",150
"3752, VIC",24989
"3753, VIC",4642
"3754, VIC",50494
"3755, VIC",246
"3756, VIC",15931
"3757, VIC",9735
"3758, VIC",2281
"3759, VIC",1063
"3760, VIC",356
"3761, VIC",1186
"3762, VIC",117
"3763, VIC",1662
"3764, VIC",10578
"3765, VIC",6900
"3766, VIC",1277
"3767, VIC",1271
"3770, VIC",3306
"3775, VIC",4080
"3777, VIC",10922
"3778, VIC",201
"3779, VIC",501
"3781, VIC",4638
"3782, VIC",7974
"3783, VIC",2559
"3785, VIC",69
"3786, VIC",1524
"3787, VIC",961
"3788, VIC",1773
"3789, VIC",294
"3791, VIC",1418
"3792, VIC",1046
"3793, VIC",3651
"3795, VIC",1323
"3796, VIC",9799
"3797, VIC",3764
"3799, VIC",5951
"3802, VIC",24455
"3803, VIC",11355
"3804, VIC",8466
"3805, VIC",58600
"3806, VIC",51308
"3807, VIC",7655
"3808, VIC",3147
"3809, VIC",19662
"3810, VIC",55588
"3812, VIC",2488
"3813, VIC",963
"3814, VIC",2604
"3815, VIC",3693
"3816, VIC",3227
"3818, VIC",17313
"3820, VIC",20054
"3821, VIC",3142
"3822, VIC",1001
"3823, VIC",2117
"3824, VIC",5438
"3825, VIC",21078
"3831, VIC",2012
"3832, VIC",245
"3833, VIC",340
"3835, VIC",475
"3840, VIC",17225
"3842, VIC",4924
"3844, VIC",31179
"3847, VIC",2278
"3850, VIC",15472
"3851, VIC",6231
"3852, VIC",210
"3854, VIC",1478
"3856, VIC",1085
"3857, VIC",389
"3858, VIC",3125
"3859, VIC",945
"3860, VIC",7455
"3862, VIC",3547
"3864, VIC",241
"3865, VIC",527
"3869, VIC",1738
"3870, VIC",1319
"3871, VIC",3039
"3873, VIC",324
"3874, VIC",610
"3875, VIC",20015
"3878, VIC",1306
"3880, VIC",4235
"3882, VIC",1322
"3885, VIC",1876
"3886, VIC",415
"3887, VIC",268
"3888, VIC",3502
"3889, VIC",171
"3890, VIC",335
"3891, VIC",121
"3892, VIC",1183
"3893, VIC",25
"3895, VIC",198
"3896, VIC",351
"3898, VIC",705
"3900, VIC",173
"3902, VIC",423
"3903, VIC",861
"3904, VIC",1899
"3909, VIC",8713
"3910, VIC",23588
"3911, VIC",3514
"3912, VIC",15633
"3913, VIC",3449
"3915, VIC",10723
"3916, VIC",1036
"3918, VIC",4276
"3919, VIC",3343
"3920, VIC",1124
"3921, VIC",139
"3922, VIC",10118
"3923, VIC",836
"3925, VIC",4550
"3926, VIC",3421
"3927, VIC",1857
"3928, VIC",453
"3929, VIC",1130
"3930, VIC",18734
"3931, VIC",25759
"3933, VIC",1004
"3934, VIC",19846
"3936, VIC",13366
"3937, VIC",1717
"3938, VIC",3311
"3939, VIC",15900
"3940, VIC",5246
"3941, VIC",13591
"3942, VIC",2786
"3943, VIC",2013
"3944, VIC",787
"3945, VIC",1092
"3946, VIC",303
"3950, VIC",5133
"3951, VIC",1020
"3953, VIC",8194
"3954, VIC",366
"3956, VIC",3037
"3957, VIC",310
"3958, VIC",284
"3959, VIC",1223
"3960, VIC",2715
"3962, VIC",954
"3964, VIC",174
"3965, VIC",220
"3966, VIC",544
"3967, VIC",108
"3971, VIC",4195
"3975, VIC",18048
"3976, VIC",26082
"3977, VIC",117143
"3978, VIC",43202
"3979, VIC",365
"3980, VIC",3571
"3981, VIC",5437
"3984, VIC",7374
"3987, VIC",1644
"3988, VIC",1094
"3990, VIC",118
"3991, VIC",405
"3992, VIC",1281
