POA (UR),"Postgraduate Degree Level, nfd","Doctoral Degree Level, nfd",Higher Doctorate,"Professional Specialist Qualification, Doctoral Degree Level","Master Degree Level, nfd","Graduate Diploma and Graduate Certificate Level, nfd",Graduate Diploma,Graduate Certificate,"Bachelor Degree Level, nfd","Advanced Diploma and Diploma Level, nfd",Advanced Diploma,Associate Degree,"Diploma Level, nfd",Diploma,"Certificate III & IV Level, nfd",Certificate IV,Certificate III,Year 12,Year 11,Year 10,"Certificate I & II Level, nfd",Certificate II,Certificate I,Year 9,Year 8 or below,Inadequately described,No educational attainment,Not stated,Not applicable,Total
"3052, VIC",16,318,12,10,872,10,124,35,1680,7,125,6,0,206,0,74,202,2164,96,123,0,0,0,63,81,89,9,483,487,7297
"3053, VIC",31,425,21,15,2375,42,264,58,4765,11,331,25,0,635,0,208,444,3121,295,254,0,0,0,128,175,243,119,1190,859,16034
"3054, VIC",23,353,13,20,1073,31,287,65,2646,0,246,8,0,239,0,102,274,922,180,153,0,0,0,81,116,101,19,342,896,8186
"3055, VIC",25,384,12,3,1451,57,472,113,3687,9,402,15,0,655,0,367,797,1813,404,432,0,0,0,235,468,227,156,673,1882,14746
"3056, VIC",54,830,19,14,2983,79,854,241,7322,9,637,42,0,994,0,468,1051,2956,527,564,0,0,5,301,837,305,287,1006,2553,24912
"3057, VIC",24,408,13,4,1733,41,485,133,4142,8,359,18,0,540,0,270,549,1461,210,235,0,0,0,135,339,191,99,605,1252,13262
"3058, VIC",54,701,14,17,2696,66,1038,217,7124,13,959,44,0,1627,0,811,1940,4299,1093,1275,0,9,0,781,1792,530,578,1682,5528,34906
"3059, VIC",14,78,0,11,674,23,256,45,2857,18,647,16,0,1101,0,495,1934,3433,1004,1180,0,6,0,570,822,379,269,908,4519,21274
"3060, VIC",12,100,0,9,846,22,172,35,1842,14,278,9,0,576,0,255,932,1872,503,725,0,3,4,397,1040,212,372,1016,3027,14274
"3061, VIC",0,6,4,0,85,3,32,6,316,9,77,0,0,208,0,61,341,763,229,339,0,8,0,245,484,75,273,418,996,4977
"3062, VIC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
"3063, VIC",0,0,0,0,10,0,9,4,51,0,22,0,0,18,0,22,80,70,34,51,0,0,0,25,18,17,3,44,82,563
"3064, VIC",55,276,12,40,5244,197,1089,189,12795,96,2840,67,0,6155,0,2659,8228,15739,4408,6104,0,75,14,3689,4422,1861,2579,6037,29534,114413
"3065, VIC",21,330,14,22,1199,31,292,83,3063,6,254,8,0,380,0,149,357,1207,219,204,0,8,0,116,221,148,123,894,1067,10431
"3066, VIC",22,198,15,12,1079,24,231,76,2823,0,220,14,0,415,0,163,414,998,205,200,0,6,5,108,183,121,100,652,898,9179
"3067, VIC",26,210,4,7,1134,30,296,60,3004,4,255,13,0,432,0,179,384,1002,162,181,0,3,0,81,148,135,55,564,733,9096
"3068, VIC",40,687,25,48,2449,72,797,166,5861,4,523,25,0,600,0,283,617,1823,380,491,0,5,0,258,432,209,113,856,2616,19382
"3070, VIC",62,741,22,23,2713,77,1029,213,6799,19,692,30,0,867,0,435,972,2520,624,680,0,6,0,425,892,308,315,1034,3787,25276
"3071, VIC",42,360,4,8,1662,82,654,153,4631,9,523,22,0,798,0,434,968,2159,504,601,0,4,0,341,824,250,242,918,2806,19005
"3072, VIC",38,475,6,7,2368,79,887,205,7122,15,1045,32,0,1609,0,815,1967,4468,1051,1290,0,10,0,840,1621,484,507,1754,5058,33790
"3073, VIC",30,406,6,7,2913,93,898,196,7912,27,1437,30,0,2477,3,1287,3881,6713,1978,2526,0,26,4,1534,3261,869,947,3694,7958,51096
"3074, VIC",10,65,3,4,784,21,151,24,1861,12,427,17,0,842,0,405,1625,3231,863,1312,0,23,7,826,2159,344,792,1293,3153,20234
"3075, VIC",10,72,0,0,791,32,197,34,2339,15,525,9,0,998,0,475,1711,3553,1004,1505,0,17,0,900,2043,387,770,1548,4265,23219
"3076, VIC",12,120,4,10,1344,65,326,70,3671,21,952,18,0,1688,0,821,2856,4970,1512,1996,0,20,0,1127,1404,577,480,2448,6970,33489
"3078, VIC",37,329,3,26,1166,35,519,116,3146,5,371,8,4,444,0,216,518,1338,366,367,0,4,0,223,359,163,81,532,1882,12237
"3079, VIC",41,442,7,37,1566,51,588,106,4390,5,637,5,0,632,4,266,767,1921,577,598,0,0,5,366,410,315,81,631,2603,17055
"3081, VIC",14,165,0,4,889,36,291,74,2454,8,397,4,0,628,0,341,985,1735,529,708,0,16,3,435,532,217,208,979,2356,14003
"3082, VIC",15,175,4,9,1156,43,378,89,3783,17,944,18,0,1493,3,808,2840,4448,1612,1754,0,23,3,925,1317,564,390,1478,4439,28712
"3083, VIC",29,329,4,24,1943,70,462,97,4971,17,967,27,0,1579,6,727,2479,4905,1431,1636,0,10,0,1010,1364,571,444,1952,4482,31529
"3084, VIC",42,594,18,46,2184,82,807,186,5968,12,964,14,0,993,0,549,1626,2876,995,1072,0,8,0,635,780,509,128,1031,4936,27045
"3085, VIC",24,218,4,14,876,38,344,100,2687,5,551,12,0,669,0,339,1060,1641,587,688,0,0,0,353,413,245,53,532,2587,14050
"3087, VIC",5,91,5,3,450,19,201,53,1478,0,274,3,0,467,0,287,907,1042,473,510,0,9,0,296,319,145,66,368,1690,9156
"3088, VIC",30,276,3,5,1307,39,659,166,4546,10,1094,21,0,1307,0,829,2639,3108,1398,1444,0,7,0,809,762,538,117,1003,5047,27181
"3089, VIC",9,87,0,4,434,25,277,78,1838,5,488,17,0,668,0,428,1570,1529,715,685,0,0,0,344,216,233,14,413,2426,12503
"3090, VIC",4,20,0,3,76,6,37,7,355,0,83,4,0,121,0,59,291,427,156,166,0,0,0,93,65,58,3,111,429,2575
"3091, VIC",0,10,0,0,46,3,26,7,198,0,74,0,0,77,0,32,234,240,106,91,0,0,0,44,40,45,5,88,234,1602
"3093, VIC",4,46,0,9,204,13,109,23,754,0,172,0,0,182,0,98,311,467,211,199,0,0,0,108,123,76,23,173,659,3962
"3094, VIC",12,102,0,0,495,13,283,88,1689,0,399,5,0,454,0,223,857,950,433,492,0,6,0,238,155,159,33,304,1852,9250
"3095, VIC",34,438,0,17,1552,87,827,177,5325,9,1237,8,0,1287,5,766,2422,3342,1378,1318,4,6,0,701,437,626,29,953,5373,28373
"3096, VIC",4,16,0,0,51,4,39,11,262,0,84,5,0,104,0,70,269,232,121,118,0,6,0,63,48,22,3,57,324,1911
"3097, VIC",5,23,0,0,100,3,40,8,301,0,60,0,0,69,0,25,143,183,64,65,0,0,0,46,21,26,0,90,256,1536
"3099, VIC",8,78,0,0,169,11,134,22,775,0,214,3,0,270,0,177,687,518,252,270,0,4,0,130,82,82,4,190,935,4993
"3101, VIC",42,616,21,109,2423,101,702,132,6677,8,920,27,0,857,0,311,774,2972,747,711,0,9,0,505,441,404,159,1143,3705,24499
"3102, VIC",24,139,6,27,570,25,206,29,1678,0,243,4,0,212,0,76,266,860,209,219,0,0,0,120,157,113,32,211,1192,6620
"3103, VIC",28,294,11,58,1444,61,394,69,4037,10,681,17,0,569,0,192,475,2091,508,538,0,5,0,354,322,293,76,611,2487,15621
"3104, VIC",32,393,12,54,1752,96,524,73,5331,0,822,16,0,742,0,231,691,2958,805,790,0,5,0,469,492,383,111,732,3794,21302
"3105, VIC",10,134,3,7,651,19,203,45,2206,0,429,6,0,472,4,207,732,1526,460,480,0,3,0,293,769,197,142,531,1604,11124
"3106, VIC",21,217,9,29,1159,50,297,63,3642,9,675,10,0,678,0,252,963,2368,668,758,0,0,0,466,626,371,115,887,2618,16966
"3107, VIC",20,165,9,10,902,43,297,54,2851,3,585,10,0,630,0,232,834,1821,606,630,0,9,5,366,609,315,146,645,2375,14164
"3108, VIC",26,289,13,27,2243,67,431,98,5578,10,1011,17,0,1169,0,422,1178,3472,882,1049,0,5,6,622,934,508,272,1208,3491,25054
"3109, VIC",24,375,20,18,2506,81,552,103,6488,11,1234,35,0,1315,4,482,1560,4033,1151,1304,0,6,0,782,1064,618,297,1263,5585,30926
"3111, VIC",11,114,3,20,788,42,284,58,2625,0,538,0,0,511,0,212,820,1699,515,578,0,0,0,344,405,254,79,637,2084,12644
"3113, VIC",9,129,0,10,482,25,265,45,1653,0,435,0,0,374,0,205,727,1111,386,353,0,0,0,227,138,149,10,258,1573,8562
"3114, VIC",3,34,0,10,184,9,114,16,775,0,176,0,0,155,0,68,317,524,230,180,0,0,0,104,71,72,12,117,673,3835
"3115, VIC",7,24,0,6,98,6,72,11,636,3,158,0,0,183,0,126,502,542,252,227,0,0,0,110,48,74,6,120,628,3843
"3116, VIC",6,43,0,3,356,15,209,46,1476,3,420,11,0,639,0,401,1478,1392,689,775,0,8,0,388,316,211,70,502,2301,11779
"3121, VIC",74,477,16,39,3134,127,895,254,10155,19,898,32,0,1383,0,594,1437,3708,734,717,0,9,3,442,716,453,357,1842,3027,31534
"3122, VIC",39,575,23,73,2612,99,705,142,6742,11,697,22,0,930,0,329,712,2819,566,494,0,0,0,301,247,315,60,1049,2748,22322
"3123, VIC",33,328,12,29,1758,61,466,99,4433,9,453,10,0,571,0,223,456,1571,372,355,0,0,0,231,192,246,48,658,2202,14834
"3124, VIC",45,495,17,61,2213,85,669,103,5976,6,899,16,0,766,0,300,638,2558,752,712,0,4,4,433,420,379,65,878,3470,21965
"3125, VIC",19,195,4,15,1580,52,285,76,3315,9,461,11,0,762,0,221,691,2342,490,498,0,0,0,351,373,251,92,1019,2016,15147
"3126, VIC",21,172,5,37,803,49,233,27,2100,3,301,3,0,229,0,81,206,956,307,269,0,0,0,149,115,149,15,311,1232,7773
"3127, VIC",31,387,17,42,1924,79,667,114,4910,4,758,11,0,686,0,253,597,2243,635,596,0,0,0,384,263,317,43,669,2977,18608
"3128, VIC",30,274,3,11,2342,58,466,83,5076,12,803,13,0,1196,0,385,900,3478,672,732,0,5,0,560,532,354,236,1778,2825,22841
"3129, VIC",17,258,9,18,1549,43,487,107,3963,9,723,9,0,767,0,339,810,2336,625,658,0,7,0,442,525,315,144,716,3056,17946
"3130, VIC",31,497,3,16,2655,95,927,174,7229,8,1241,22,0,1440,3,617,1762,4016,1283,1414,0,7,5,855,811,582,236,1407,5712,33044
"3131, VIC",33,228,4,14,1817,67,485,104,4697,9,818,5,0,1102,0,477,1304,2797,847,1110,0,9,5,604,728,412,245,1336,3927,23191
"3132, VIC",14,200,4,6,1318,44,461,93,3659,10,582,20,0,834,0,426,978,1948,698,720,0,7,7,440,394,275,123,553,2975,16795
"3133, VIC",27,308,0,12,1778,58,493,95,4568,10,968,7,0,1030,0,417,1337,2768,989,1194,0,8,3,635,585,437,170,1019,4027,22951
"3134, VIC",27,280,11,13,2028,86,734,191,6196,20,1428,20,0,1741,0,998,2832,4138,1682,1825,0,18,4,903,946,658,249,1493,6089,34607
"3135, VIC",26,204,0,3,1247,50,527,138,3648,11,830,9,0,992,0,584,1737,2252,942,1035,0,10,0,534,490,369,149,913,3990,20698
"3136, VIC",32,288,3,9,1968,84,952,248,6901,27,1694,28,0,2461,4,1473,4746,5450,2607,2888,3,15,8,1425,1239,934,281,2058,8486,46296
"3137, VIC",8,35,0,3,361,25,207,71,1573,6,466,9,0,836,0,587,2027,1679,910,1156,0,3,4,543,445,267,97,613,2636,14558
"3138, VIC",9,96,0,0,629,27,356,114,2716,7,760,16,0,1210,3,927,2988,2673,1362,1583,0,10,6,787,599,406,230,966,4568,23059
"3139, VIC",4,22,0,0,191,5,196,44,1152,3,430,5,0,781,0,605,2475,1516,869,1174,0,15,0,637,343,276,45,696,2771,14257
"3140, VIC",6,69,0,4,360,17,243,64,1948,8,614,10,0,978,0,709,2420,2081,1146,1286,0,12,4,669,521,334,64,803,2975,17348
"3141, VIC",64,561,37,51,3225,100,651,162,8485,12,791,24,0,1116,0,398,773,2963,512,493,0,4,0,230,229,436,69,1874,1761,25028
"3142, VIC",34,266,20,70,1205,55,302,51,3894,4,533,11,0,480,0,122,357,1731,431,334,0,0,0,165,107,268,13,960,1396,12817
"3143, VIC",28,183,5,29,1012,49,279,49,2913,0,355,6,0,389,0,122,282,1124,243,218,0,0,0,106,124,159,27,483,1192,9376
"3144, VIC",17,205,9,57,988,50,318,57,3191,4,433,12,0,389,0,108,252,1296,361,313,0,0,0,180,165,225,34,472,1616,10763
"3145, VIC",42,389,14,59,2231,90,692,97,6187,18,843,16,0,944,0,330,904,3096,783,694,0,6,0,432,484,442,103,990,3707,23594
"3146, VIC",44,485,20,68,2567,101,820,151,7294,6,943,14,0,948,3,345,836,3082,817,759,0,4,0,461,421,457,68,898,4518,26131
"3147, VIC",32,249,3,17,1251,60,447,67,3528,0,514,10,0,568,0,230,658,1751,514,631,0,10,0,367,393,259,99,672,2782,15102
"3148, VIC",17,95,7,8,878,34,167,31,2166,4,291,10,0,472,0,217,519,1186,304,318,0,3,0,201,325,156,112,521,1505,9552
"3149, VIC",41,611,20,44,3487,109,774,136,7778,24,1352,34,0,1469,0,572,1622,4438,1239,1366,0,4,7,822,950,664,226,1566,5992,35340
"3150, VIC",74,995,27,96,5672,178,1177,201,13568,29,2553,31,5,2598,3,912,2817,8313,2455,2858,0,19,0,1620,1827,1256,512,3407,10097,63298
"3151, VIC",13,118,4,5,962,36,180,22,2263,3,407,0,3,502,0,193,618,1481,369,464,0,3,0,289,502,190,136,455,1461,10675
"3152, VIC",23,285,7,21,2309,111,571,146,6516,11,1371,28,0,1641,0,780,2651,4656,1605,1946,0,13,5,983,855,649,256,1592,5908,34940
"3153, VIC",21,106,4,0,920,34,299,87,2940,10,644,12,0,1173,0,718,2312,2570,1140,1397,0,5,0,721,585,387,141,1345,3693,21276
"3154, VIC",3,31,0,0,110,0,71,26,524,0,170,5,0,269,0,201,563,460,273,316,0,0,0,150,108,86,8,255,869,4500
"3155, VIC",10,148,0,5,927,35,412,93,3226,3,811,9,0,1288,0,917,2721,2925,1241,1627,0,9,3,784,615,414,115,1285,4033,23660
"3156, VIC",38,259,0,15,1317,77,572,161,5286,19,1364,33,0,2118,4,1357,4481,5016,2275,2605,0,14,0,1258,975,731,149,1662,6701,38484
"3158, VIC",15,87,0,0,257,11,180,40,1092,4,279,5,0,389,4,279,765,784,334,363,0,3,0,166,81,118,3,234,1317,6818
"3159, VIC",0,39,0,0,100,3,66,18,404,0,108,0,0,148,5,94,276,270,126,123,0,0,0,70,36,67,0,141,503,2593
"3160, VIC",5,110,0,0,379,16,241,55,1366,0,365,6,0,537,0,361,1027,1007,433,475,0,5,0,258,155,181,14,344,1674,9024
"3161, VIC",26,307,7,54,1699,52,441,84,4761,8,588,14,0,645,0,236,544,2100,462,405,0,0,0,244,234,313,36,986,2660,16903
"3162, VIC",34,248,11,33,1362,68,492,76,4711,16,727,8,0,713,0,261,782,2195,550,544,0,0,0,327,330,384,61,1021,3127,18075
"3163, VIC",48,535,10,14,3717,125,847,179,8583,24,1077,19,0,1549,0,633,1584,3716,893,1025,0,3,0,526,715,573,135,1544,4731,32810
"3165, VIC",43,312,5,15,2034,86,633,120,5996,15,1152,14,0,1296,0,640,1975,3771,1175,1275,0,0,0,691,881,549,147,1175,6154,30159
"3166, VIC",33,355,8,21,2129,64,474,103,5256,16,740,14,0,1198,0,487,1530,3313,819,871,0,4,3,538,1168,390,300,1105,3821,24753
